timeframe,symbol,row_count,unique_trading_days,coverage_ratio,stale,schema_ok,interval_alignment_ok,passes,failure_reason
5m,IREN,20763,265,1.0,False,True,True,True,
5m,CVE,20243,265,0.9793420416061925,False,True,True,True,
5m,CTRA,20480,265,0.9908079342041606,False,True,True,True,
5m,PINS,20506,265,0.9920657958393807,False,True,True,True,
5m,TTD,20514,265,0.9924528301886792,False,True,True,True,
5m,CDE,20445,265,0.9891146589259797,False,True,True,True,
5m,HPE,20516,265,0.9925495887760039,False,True,True,True,
5m,NCLH,20549,265,0.9941461054668602,False,True,True,True,
5m,KVUE,20503,265,0.9919206579583938,False,True,True,True,
5m,RKT,20531,265,0.9932752781809385,False,True,True,True,
5m,TFC,20475,265,0.9905660377358491,False,True,True,True,
5m,AG,20347,265,0.984373488147073,False,True,True,True,
5m,CPNG,20481,265,0.9908563134978229,False,True,True,True,
5m,KMI,20495,265,0.9915336236090954,False,True,True,True,
5m,LUV,20509,265,0.9922109337203677,False,True,True,True,
5m,DKNG,20508,265,0.9921625544267054,False,True,True,True,
5m,HBAN,20465,265,0.9900822447992259,False,True,True,True,
5m,KHC,20481,265,0.9908563134978229,False,True,True,True,
5m,CPRT,20463,265,0.9899854862119013,False,True,True,True,
5m,GIS,20476,265,0.9906144170295114,False,True,True,True,
5m,KEY,20437,265,0.9887276245766812,False,True,True,True,
5m,KGC,20387,265,0.9863086598935655,False,True,True,True,
5m,HIMS,20904,265,1.0,False,True,True,True,
5m,WULF,21599,265,1.0,False,True,True,True,
5m,HDB,19958,265,0.9655539429124335,False,True,True,True,
5m,HPQ,20489,265,0.9912433478471214,False,True,True,True,
5m,TOST,20471,265,0.9903725205611998,False,True,True,True,
5m,PCG,20466,265,0.9901306240928882,False,True,True,True,
5m,MOS,20458,265,0.9897435897435898,False,True,True,True,
5m,RF,20454,265,0.9895500725689405,False,True,True,True,
5m,HL,20270,265,0.980648282535075,False,True,True,True,
5m,IONQ,15953,203,1.0,False,True,True,True,
5m,KDP,20483,265,0.9909530720851476,False,True,True,True,
5m,PR,15611,203,0.9859163824681066,False,True,True,True,
5m,RIVN,15960,203,1.0,False,True,True,True,
5m,FIG,12236,176,0.8913170163170163,False,True,True,True,
5m,JD,15890,203,1.0,False,True,True,True,
5m,QBTS,16773,203,1.0,False,True,True,True,
5m,GAP,15655,203,0.9886952128331439,False,True,True,True,
15m,NVDA,13474,451,1.0,False,True,True,True,
15m,AMZN,11873,451,1.0,False,True,True,True,
15m,MSFT,11944,451,1.0,False,True,True,True,
15m,AAPL,12043,451,1.0,False,True,True,True,
15m,TSLA,12628,451,1.0,False,True,True,True,
15m,MU,11956,451,1.0,False,True,True,True,
15m,AVGO,12125,451,1.0,False,True,True,True,
15m,GOOGL,12121,451,1.0,False,True,True,True,
15m,AMD,12179,451,1.0,False,True,True,True,
15m,XOM,11642,451,0.9928364318608222,False,True,True,True,
15m,INTC,12820,451,1.0,False,True,True,True,
15m,BAC,11649,451,0.9934333958724203,False,True,True,True,
15m,CRM,11628,451,0.9916425038376258,False,True,True,True,
15m,PLTR,12424,451,1.0,False,True,True,True,
15m,CSCO,11671,451,0.9953095684803002,False,True,True,True,
15m,ORCL,12042,451,1.0,False,True,True,True,
15m,WMT,11658,451,0.9942009210301893,False,True,True,True,
15m,NOW,11202,451,0.9553129797032236,False,True,True,True,
15m,WFC,11652,451,0.9936892375916766,False,True,True,True,
15m,GLW,11618,451,0.9907896981067713,False,True,True,True,
15m,KO,11629,451,0.9917277844107112,False,True,True,True,
15m,VZ,11647,451,0.9932628347262493,False,True,True,True,
15m,T,11672,451,0.9953948490533856,False,True,True,True,
15m,FCX,11643,451,0.9929217124339076,False,True,True,True,
15m,C,11628,451,0.9916425038376258,False,True,True,True,
15m,UBER,11677,451,0.9958212519188129,False,True,True,True,
15m,PFE,12692,451,1.0,False,True,True,True,
15m,CMCSA,11648,451,0.9933481152993349,False,True,True,True,
15m,PYPL,11692,451,0.9971004605150947,False,True,True,True,
15m,SLB,11628,451,0.9916425038376258,False,True,True,True,
15m,WBD,11675,451,0.995650690772642,False,True,True,True,
15m,BSX,11583,451,0.9878048780487805,False,True,True,True,
15m,BMY,11607,451,0.9898516118028313,False,True,True,True,
15m,NKE,11671,451,0.9953095684803002,False,True,True,True,
15m,KKR,11612,451,0.9902780146682586,False,True,True,True,
15m,MRVL,7994,304,1.0,False,True,True,True,
15m,DAL,11616,451,0.9906191369606003,False,True,True,True,
15m,CRWV,6717,247,1.0,False,True,True,True,
15m,B,11610,450,0.9923076923076923,False,True,True,True,
15m,DVN,11609,451,0.9900221729490022,False,True,True,True,
15m,NVO,11849,451,1.0,False,True,True,True,
15m,SOFI,12180,451,1.0,False,True,True,True,
15m,CSX,11631,451,0.9918983455568822,False,True,True,True,
15m,OXY,11652,451,0.9936892375916766,False,True,True,True,
15m,HOOD,12132,451,1.0,False,True,True,True,
15m,CCL,11701,451,0.9978679856728637,False,True,True,True,
15m,HAL,11628,451,0.9916425038376258,False,True,True,True,
15m,CMG,11453,451,0.9767184035476718,False,True,True,True,
15m,MDLZ,11619,451,0.9908749786798567,False,True,True,True,
15m,PBR,11866,451,1.0,False,True,True,True,
15m,CNQ,11598,451,0.9890840866450622,False,True,True,True,
15m,BP,12275,451,1.0,False,True,True,True,
15m,USB,11614,451,0.9904485758144295,False,True,True,True,
15m,EXC,11614,451,0.9904485758144295,False,True,True,True,
15m,EQT,11620,451,0.9909602592529422,False,True,True,True,
15m,BKR,7855,304,0.9938006072874493,False,True,True,True,
15m,SMCI,12169,451,1.0,False,True,True,True,
15m,DOW,11611,451,0.9901927340951732,False,True,True,True,
